file,ne1,type1,cnt-1,ne2,type2,cnt-2,ne3,type3,cnt-3,ne4,type4,cnt-4,ne5,type5,cnt-5,ne6,type6,cnt-6,ne7,type7,cnt-7,ne8,type8,cnt-8,ne9,type9,cnt-9,ne10,type10,cnt-10,ne11,type11,cnt-11,ne12,type12,cnt-12,ne13,type13,cnt-13,ne14,type14,cnt-14,ne15,type15,cnt-15,ne16,type16,cnt-16,ne17,type17,cnt-17,ne18,type18,cnt-18,ne19,type19,cnt-19,ne20,type20,cnt-20
CTX193700535,Elnl.Zl . 1858 / 63,"Directives, norms",1,Einl . Z 1.1864 Einl,"Directives, norms",1,1802,Number expression (General),1,09,Number expression (General),1,H.A.Vobornik,Complex personal names,1,Duxer Museum,Cult/Educational institution,1,1933,Year,1,H.Dir.Hirschbrich dem Museum Dux,Complex personal names,1,.,Itemizer (1.),1,Dux,Cultural artifact (Book/Painting),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193700538,1810,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193700599,6,Number expression (General),5,7,Number expression (General),5,C,Artifact name (General),2,Kokotské nekropole,Cultural artifact (Book/Painting),1,Fr . France,Complex personal names,1,Plzeň,Settlement name (City/Town),1,111,Volu-metric number,1,112,Volu-metric number,1,3,Cardinal number,1,Úslavy,Hydronym (Bodies of water),1,14,Cardinal number,1,1879,Year,1,26,Number expression (General),1,2,Cardinal number,1,G,Measure unit,1,Kokotska,Settlement name (City/Town),1,2,Number expression (General),1,5,Number expression (General),1,E.Zelenka,Complex personal names,1,Kokotskou nekropoli,Cultural artifact (Book/Painting),1
CTX193700603,Slaný,Settlement name (City/Town),2,STÁTNÍ PAMÁTKOVÝ ÚŘAD PRO ČECHY V PRAZE,Organization/Society,1,735 / 37,Number expression (General),1,Studněves,Settlement name (City/Town),1,Praha,Settlement name (City/Town),1,111 . 1347 .,Complex time expressions,1,12 . / II . 19 37,Complex time expressions,1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,19 . / 1 . 1937,Complex time expressions,1,ČSL,States/Provinces/Regions,1,STÁTNÍ ARCIIAEOLOGTCKÝ OSTAV,Organization/Society,1,J,First name,1,Státnímu archeologickému ústavu v Praze,Organization/Society,1,Dleném,"Directives, norms",1,9 . / II . 1937,Complex time expressions,1,5647 / 37,Number expression (General),1,Studeněvsi,Settlement name (City/Town),1,,,0,,,0
CTX193700674,Milovicích,Settlement name (City/Town),5,Milovice,Settlement name (City/Town),3,Mladá Boleslav,Settlement name (City/Town),2,1,Cardinal number,2,ČSL,States/Provinces/Regions,1,STÁTNÍ ARCHAEOLOGICKY ÚSTAV,Cult/Educational institution,1,Četnické stanice Milovice,Cult/Educational institution,1,prof .,Academic titles,1,Zd . Kamperem,Complex personal names,1,Ml . Boleslavi,Settlement name (City/Town),1,673 / 37,Number expression (General),1,Lil . Boleslav,Territorial name (State/Region),1,11 . února 1937,Complex time expressions,1,399 / 37,Number expression (General),1,Karla Stolejdy,Complex personal names,1,1931,Year,1,Stanislav Ulrich,Complex personal names,1,Josef Chou - ra,Complex personal names,1,m,Measure unit,1,Urlicha,Surname,1
CTX193700812,září,Month,2,Roháče,Surname,2,PRAHA,Settlement name (City/Town),1,Ku tná Hora,Settlement name (City/Town),1,Roháče z Dubé,Complex personal names,1,Vocel,Cult/Educational institution,1,Tomáška,Surname,1,Roháčuv,Personal name (General),1,Sión,Cultural artifact (Book/Painting),1,Lipnu,Hydronym (Bodies of water),1,Zikmundovi,Personal name (General),1,500,Cardinal number,1,Siónu,Cultural artifact (Book/Painting),1,Sión,Personal name (General),1,Chlisto - vic,Settlement name (City/Town),1,Kutnohorsku,Territorial name (State/Region),1,Lipan,Conference/Contest,1,Jan Roháč z Dubě,Complex personal names,1,Lipan,Settlement name (City/Town),1,Zikmund,First name,1
CTX193700933,Teplic - kn,Settlement name (City/Town),1,Lidové Noviny,Periodical name (Newspaper/Magazine),1,František Ven cour,Complex personal names,1,Ohnice,Settlement name (City/Town),1,Žalan,Settlement name (City/Town),1,Stře - dohoří,Nature/Landscape name (Mountain/River),1,Tepličku,Nature/Landscape name (Mountain/River),1,XI .,Ordinal number,1,dra Neustunného,Complex personal names,1,X .,Ordinal number,1,Kristu,Relig./myth persons,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701271,1271 / 37,Number expression (General),2,Máslovice,Settlement name (City/Town),1,Schránil,Surname,1,Vorgeschichte,Surname,1,171,Number expression (General),1,L.Niederle,Complex personal names,1,Karlovy univers šity,Cult/Educational institution,1,Rataj IO / IV .37,Personal name (General),1,prof.dr . . Schránilem,Complex personal names,1,dr.J.Moucha v r . 1979,Complex personal names,1,Schránila,Surname,1,20.11 . 1979,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701296,2,Cardinal number,1,1266,Number expression (General),1,197,Number expression (General),1,I,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701301,cm,Measure unit,5,Křepenic,Settlement name (City/Town),2,20,Number expression (General),2,Křepenicich,Settlement name (City/Town),2,4,Itemizer (1.),2,2,Volu-metric number,1,II,Volu-metric number,1,1937,Year,1,Olga Barviřová,Complex personal names,1,Kamenne Hurce,Nature/Landscape name (Mountain/River),1,1931,Year,1,Josefem Holanem,Complex personal names,1,Zviroticích,Settlement name (City/Town),1,J.Hellera ze Sedlcan,Complex personal names,1,Státnímu ústavu archeologickému v Praze,Cult/Educational institution,1,Jaroslavem B ohmem,Complex personal names,1,"Stát , ústavu archeol .",Cult/Educational institution,1,Vladi VladiJ,Complex personal names,1,1935,Year,1,Bulletin of American School of Prehistorie Re,Cultural artifact (Book/Painting),1
CTX193701302,Křepenic,Settlement name (City/Town),10,Čechách,Territorial name (State/Region),7,Vltavy,Hydronym (Bodies of water),6,Čech,Territorial name (State/Region),6,I,Volu-metric number,4,km,Measure unit,3,Dr .,Academic titles,2,1899,Year,2,3,Volu-metric number,2,9 .,Ordinal number,2,Modřan,Urban geographical name (Street/Square),2,prof . Shránil,Complex personal names,2,1000,Year,2,07,Cardinal number,1,7,Cardinal number,1,302,Cardinal number,1,3o,Cardinal number,1,937,Number expression (General),1,24 8,Number expression (General),1,1937,Year,1
CTX193701400,198,Volu-metric number,1,4,Volu-metric number,1,EINLAUF,Surname,1,528 / 27,Number expression (General),1,"Von dem Arbeiter Haselbsuer urde in der hffier - H ndgrube das 38 Br ngrab aufgedeckt und geborgen s Jahelt : Seherben von einer grsseren Urne aus braunem Ton Seherben einer graubrsuner Deeksei • 1 e , Aseh preste",Cultural artifact (Book/Painting),1,3,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701474,Nymburk,Settlement name (City/Town),1,Poděbrady,Territorial name (State/Region),1,Městském museu v Lysé n . L .,Cult/Educational institution,1,Nymburce,Settlement name (City/Town),1,19,Number expression (General),1,A 36,Number expression (General),1,Praze,Settlement name (City/Town),1,8.dubna 1937,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701477,V.Po žárecký,Ordinal number,2,Praze,Settlement name (City/Town),2,Městském museu v Lysé n . L .,Cult/Educational institution,1,20,Volu-metric number,1,III .,Ordinal number,1,Kr .,Geographical name (General),1,9,Number expression (General),1,22,Number expression (General),1,19,Number expression (General),1,21,Number expression (General),1,Dar . V.Po,Complex personal names,1,34,Number expression (General),1,Dar . V . Požárecký,Complex personal names,1,37,Number expression (General),1,XVI .,Ordinal number,1,XVII.st .,Ordinal number,1,V.Po žárecký,Complex personal names,1,8.dubna 1937,Complex time expressions,1,dne . / 0 . dubna 1937,Complex time expressions,1,,,0
CTX193701717,9,Itemizer (1.),1,3,Cardinal number,1,STÁTNÍ PAMÁTKOVÝ ÚŘAD PRO ČECHY V PRAZE Čs 1890,Organization/Society,1,/ 37,Number expression (General),1,Vrchlabí,Settlement name (City/Town),1,Bradlerberg . Praha 111.134 ?,Complex Address/Number/Time,1,22 . / IV • 19 37,Complex time expressions,1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,ČSL,States/Provinces/Regions,1,STÁTNÍ ÁSCníEOLOGICKt ÚSTAV,Cult/Educational institution,1,4,Itemizer (1.),1,Státnímu archeologickému ústavu v Praze,Organization/Society,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701799,Klein,Surname,1,Mnchengrätz G . B . 11,Cult/Educational institution,1,G . Z . 1799,Cult/Educational institution,1,4.5.27,Number expression (General),1,84,Number expression (General),1,Gruppe von Stucken von verschiedenen efässen,Cultural artifact (Book/Painting),1,Grab 85 : Ein ziemlich erhaltenes gross.es doppelkonisches “efäss inmitten von Fragmenten von verschiedenen Gefässen .,Complex bibliographic expression,1,Gruppe von Scherben,Complex personal names,1,Gruppe Scherben,Complex personal names,1,88,Volu-metric number,1,89,Volu-metric number,1,Bakow,Settlement name (City/Town),1,30.4.37 gez.Adalber Buk,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701930,Praze,Settlement name (City/Town),3,5.kv ětna 1937,Complex time expressions,2,Žatoi,Settlement name (City/Town),2,ČSL,States/Provinces/Regions,1,STÁTNÍ ARCHAROLOGTCKY ÚSTAV,Cult/Educational institution,1,2,Number expression (General),1,4,Number expression (General),1,26,Number expression (General),1,Ky / 9,Number expression (General),1,*,Number expression (General),1,430,Number expression (General),1,1,Number expression (General),1,Státnímu archeologickému ústavu v Praze,Cult/Educational institution,1,Žatci,Settlement name (City/Town),1,27.dubna byl,Complex time expressions,1,Staré Poště,Super-terrestrial name (Star/Planet),1,Městském museu žateckém,Cult/Educational institution,1,prof . Wurdingěr,Complex personal names,1,30.dubna na zvláštní schůzi,Complex time expressions,1,XI .,Ordinal number,1
CTX193701943,cm,Measure unit,6,Mhlhauser,Surname,1,G . Z .,Complex personal names,1,1943,Year,1,19.5.57 .,Complex time expressions,1,95,Year,1,97,Year,1,22,Cardinal number,1,40,Cardinal number,1,Feuerstätte,Cult/Educational institution,1,50,Cardinal number,1,63,Cardinal number,1,130,Cardinal number,1,70,Cardinal number,1,20,Cardinal number,1,Malá Bela,Settlement name (City/Town),1,8.5 . 37,Complex time expressions,1,Adalbert Bud,Complex personal names,1,,,0,,,0
CTX193701944,ČSL,States/Provinces/Regions,1,94,Cardinal number,1,2,Itemizer (1.),1,044,Cardinal number,1,4,Cardinal number,1,7,Volu-metric number,1,2,Number expression (General),1,55,Number expression (General),1,6,Number expression (General),1,5,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701944A,37,Number expression (General),13,3,Number expression (General),11,4,Number expression (General),9,5,Number expression (General),9,7,Number expression (General),7,53,Number expression (General),6,2,Number expression (General),6,6,Number expression (General),6,2,Cardinal number,5,3,Cardinal number,5,1,Number expression (General),4,l,Number expression (General),4,cm,Measure unit,4,D,Artifact name (General),4,86,Number expression (General),4,10,Number expression (General),3,38,Number expression (General),3,12,Number expression (General),2,1,Itemizer (1.),2,2,Itemizer (1.),2
CTX193701957,cm,Measure unit,6,4,Number expression (General),5,1,Number expression (General),5,6,Number expression (General),3,5,Number expression (General),3,m,Measure unit,3,7,Number expression (General),3,20,Cardinal number,2,13,Volu-metric number,2,2,Cardinal number,2,0,Number expression (General),2,3*,Number expression (General),2,44,Number expression (General),2,2,Number expression (General),2,1937,Year,2,Gesellschaft zuř Er foschung,Cult/Educational institution,1,"Gablonz a . l . , am 5.1 ai 1937",Complex Address/Number/Time,1,Staatliche Denkmlmt Prag,Cultural artifact (Book/Painting),1,14,Cardinal number,1,22,Cardinal number,1
CTX193701965,cm,Measure unit,3,Saaz,Company/Firm,2,Žatoe,Settlement name (City/Town),1,Fanty,Surname,1,Žatci,Settlement name (City/Town),1,dubnu,Month,1,3,Cardinal number,1,Městského musea v Žatci,Cult/Educational institution,1,6.kv ětna,Complex time expressions,1,40,Cardinal number,1,8,Age,1,10,Age,1,Helmut Preidel,Complex personal names,1,Žatec,Settlement name (City/Town),1,2,Cardinal number,1,Flur Maze,Product (General),1,1957,Year,1,Sandgrube Fanta,Cultural artifact (Book/Painting),1,Flur Mazerka,Cultural artifact (Book/Painting),1,Dr . Preidel,Complex personal names,1
CTX193701976,321,Number expression (General),2,49*,Number expression (General),1,673,Number expression (General),1,+,Number expression (General),1,7776 / 37 7776 / 37 H,Number expression (General),1,4,Itemizer (1.),1,946,Cardinal number,1,3,Cardinal number,1,2,Itemizer (1.),1,2,Volu-metric number,1,ŘEBUSICEArSamý,Settlement name (City/Town),1,7,Itemizer (1.),1,13,Cardinal number,1,177,Number expression (General),1,0,Number expression (General),1,6,Number expression (General),1,2,Number expression (General),1,9,Number expression (General),1,3*,Number expression (General),1,136,Number expression (General),1
CTX193701981,1 . 1896,Complex time expressions,1,Bílin,Settlement name (City/Town),1,Herr Lang,Cultural artifact (Book/Painting),1,10 . Jänner 1934,Complex time expressions,1,Duxer Museum einen latene - zeitlichen Brz,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701982,1905,Year,1,1909,Year,1,Oskar Kaiser,Complex personal names,1,Museumslei ter eine grere Anzahl von Gef äscherben,Cult/Educational institution,1,1934,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701986,1,Itemizer (1.),2,Ladowitz,Surname,2,cm,Measure unit,2,1970,Year,1,1 . 1973 1975,Complex time expressions,1,Ladowitz,Settlement name (City/Town),1,10.Apr íl 1936,Complex time expressions,1,R.Perner ( Ladowitz,Complex personal names,1,In der Sandgrube des H - A,Cultural artifact (Book/Painting),1,481 / 1,Number expression (General),1,11,Number expression (General),1,1936,Year,1,Griffzapfenleisten,Cultural artifact (Book/Painting),1,1 . 1926 1929,Complex time expressions,1,In der Pandgrube des H . Anton Plasche Parz,Cultural artifact (Book/Painting),1,481,Itemizer (1.),1,Museumslei,Cult/Educational institution,1,1935,Year,1,80,Cardinal number,1,100,Cardinal number,1
CTX193701988,ČSL,States/Provinces/Regions,1,44 . /,Complex time expressions,1,193,Number expression (General),1,1 . 1910,Complex time expressions,1,1911,Year,1,O Bilin,Cultural artifact (Book/Painting),1,Fu des Borschen,Cultural artifact (Book/Painting),1,25 . März 1935,Complex time expressions,1,Duxer Museum,Cult/Educational institution,1,Heimatmuseum,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701992,ČSL,States/Provinces/Regions,1,ATCIIATOLCGIOKY l .,Cult/Educational institution,1,1937,Year,1,1 . 1986 1988,Complex time expressions,1,Loosch,Surname,1,37.Juni 1936,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701995,ÚSTAV,Cult/Educational institution,1,1937,Year,1,Nr,States/Provinces/Regions,1,491,Volu-metric number,1,m,Measure unit,1,Washington,Settlement name (City/Town),1,1,Itemizer (1.),1,1,Number expression (General),1,1,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193701998,ARCTIAEOLOGICKT ÚSTAV,Cult/Educational institution,1,17 . 17 v ',Complex time expressions,1,119237,Number expression (General),1,7,Number expression (General),1,17,Cardinal number,1,501 / 27,Number expression (General),1,Parz,States/Provinces/Regions,1,190 / 2 H,Number expression (General),1,Ing .,Academic titles,1,Kaupa fand,Cultural artifact (Book/Painting),1,24 . IV .,Complex time expressions,1,TRIEBSCHITZ,Settlement name (City/Town),1,03,Volu-metric number,1,27,Volu-metric number,1,190,Volu-metric number,1,I A - 27.IV,Volu-metric number,1,17,Volu-metric number,1,Knobíz,Surname,1,2,Number expression (General),1,mn,Measure unit,1
CTX193702005,Nr,States/Provinces/Regions,2,11,Number expression (General),1,539,Cardinal number,1,2,Cardinal number,1,4,Number expression (General),1,7,Number expression (General),1,193,Cardinal number,1,227 / 1,Number expression (General),1,21 . 11 . 1936,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702006,STÁTII ARCNIAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,Ir .,States/Provinces/Regions,1,Nr,States/Provinces/Regions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702008,OLOGICKÍ ÚSTAV,Cult/Educational institution,1,1,Number expression (General),1,2069,Number expression (General),1,Hli - 193 I U J,Artifact name (General),1,Nr,States/Provinces/Regions,1,9,Itemizer (1.),1,35,Volu-metric number,1,H . Betriebsi,Complex personal names,1,530 / 27,Number expression (General),1,1935,Year,1,1937,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702436,1,Cardinal number,1,50,Cardinal number,1,K . Mifne,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702438,ČSL,States/Provinces/Regions,1,193,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702441,1934,Year,14,STEHELČEVES,Settlement name (City/Town),6,Stehelčevsi,Settlement name (City/Town),6,A.Knora,Complex personal names,6,Stehelčeves,Settlement name (City/Town),5,2441 / 37,Number expression (General),4,Kladno,Settlement name (City/Town),4,U Zájezda,Urban geographical name (Street/Square),4,532,Number expression (General),4,3,Number expression (General),4,U Zájezda,Cultural artifact (Book/Painting),3,9,Number expression (General),3,Američané,Inhabitant name,3,193,Cardinal number,2,1,Number expression (General),2,Zájezda,Settlement name (City/Town),2,I,Number expression (General),2,Kokoškovo,Personal name (General),2,3 .,Ordinal number,2,1,Itemizer (1.),2
CTX193702442,STÁTNÍ ARCIIAROLOGICKY ÚSTAV,Cult/Educational institution,1,2443 / 37,Number expression (General),1,7,Number expression (General),1,2442 / 37,Number expression (General),1,Bechyně,Settlement name (City/Town),1,3,Itemizer (1.),1,242 / 3,Number expression (General),1,Zapitov,Surname,1,7,Itemizer (1.),1,31,Itemizer (1.),1,11,Cardinal number,1,13.00,Hour,1,4,Cultural artifact (Book/Painting),1,1,Cardinal number,1,4,Number expression (General),1,A - Q . o .,Company/Firm,1,12 - / .5 b 2.0,Number expression (General),1,,,0,,,0,,,0
CTX193702477,4,Cardinal number,6,4,Number expression (General),5,2,Number expression (General),4,w,Measure unit,3,g,Measure unit,3,1,Cardinal number,3,8,Number expression (General),3,1,Itemizer (1.),2,3,Cardinal number,2,22,Number expression (General),2,1,Number expression (General),2,mA,Measure unit,2,11,Number expression (General),2,1918,Year,2,329,Number expression (General),2,24,Number expression (General),2,STÁTNÍ archaeologický ústav PRAHA,Cult/Educational institution,1,STRAHOV,Cult/Educational institution,1,KLÁŠTER,Cult/Educational institution,1,403 - 31,Phone/Fax number,1
CTX193702484,ČSL,States/Provinces/Regions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702487,Bůčkově ul .,Super-terrestrial name (Star/Planet),2,248,Itemizer (1.),1,1,Itemizer (1.),1,arch . Zimy,Complex personal names,1,2,Itemizer (1.),1,81,Volu-metric number,1,105,Number expression (General),1,58,Number expression (General),1,3,Number expression (General),1,Praze,Settlement name (City/Town),1,31 . září 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702494,Praze,Settlement name (City/Town),2,ČSL,States/Provinces/Regions,1,STATEI ARCIIAEOLOGICKY ÚSTAV,Cult/Educational institution,1,249,Number expression (General),1,193,Cardinal number,1,Hostin,Settlement name (City/Town),1,Kralupy n.Vlt .,Settlement name (City/Town),1,prof.Dr.Schustera z Kralup,Complex personal names,1,Státní památkový úřad,Organization/Society,1,2322 / 37,Number expression (General),1,Karel Náhlík,Complex personal names,1,Hostině,Cultural artifact (Book/Painting),1,Krajinského musea v Kralupech n.Vlt *,Cult/Educational institution,1,"17 , června 1937",Complex time expressions,1,. . . června 193,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0
CTX193702551,Praze,Settlement name (City/Town),2,21 . června 1937,Complex time expressions,2,ČSL,States/Provinces/Regions,1,dn,Periodical name (Newspaper/Magazine),1,23 . AU 93 7 . sivur,Complex time expressions,1,Skalka / okr . Kolín /,Complex Address/Number/Time,1,Dra Fr . Dvořáka,Complex personal names,1,Městského musea v Kolíně,Cult/Educational institution,1,1935,Year,1,1,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702555,Praze,Settlement name (City/Town),2,Němčíce,Settlement name (City/Town),1,388 / 36,Number expression (General),1,Fr . Dvořáka,Complex personal names,1,Městského musea v Kolíně,Cult/Educational institution,1,1935,Year,1,1,Itemizer (1.),1,"23 , června 1937",Complex time expressions,1,červen 23,Complex time expressions,1,1937,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702556,Praze,Settlement name (City/Town),2,02550 / 32 23,Phone/Fax number,1,7,Number expression (General),1,ín,Settlement name (City/Town),1,36,Number expression (General),1,Dra F . Dvořáka,Complex personal names,1,Městského musea v Kolíně,Cult/Educational institution,1,1935,Year,1,1,Itemizer (1.),1,2 .,Ordinal number,1,"23 , června 1937",Complex time expressions,1,23 . června 1937,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702563,Praze,Settlement name (City/Town),2,23 . června 1937,Complex time expressions,2,Kutná Hora,Settlement name (City/Town),1,Vypono BO Bd.0.3,Cultural artifact (Book/Painting),1,MSstekéko mucca,Cult/Educational institution,1,Kolín,Settlement name (City/Town),1,1935,Year,1,1 .,Ordinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702564,Praze,Settlement name (City/Town),2,23 . června 1937,Complex time expressions,2,23.VI . 7 .,Complex time expressions,1,Holín,Settlement name (City/Town),1,Chrudim,Settlement name (City/Town),1,1935,Year,1,1,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702567,Praze,Settlement name (City/Town),2,256,Cardinal number,1,Kolínč,Settlement name (City/Town),1,1936,Year,1,2 ° . června 1937,Complex time expressions,1,Na Vědomí a .,Cult/Educational institution,1,23 . června 1937,Complex time expressions,1,3,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702569,Praze,Settlement name (City/Town),2,23 . června 1937,Complex time expressions,2,256,Cardinal number,1,°,Measure unit,1,2569,Cardinal number,1,Hradenín,Settlement name (City/Town),1,Kolín,Settlement name (City/Town),1,Fr . Dvořáka,Complex personal names,1,Kolíně,Settlement name (City/Town),1,1936,Year,1,2,Cardinal number,1,4,Cardinal number,1,51,Cardinal number,1,1,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702570,Libkovicích,Settlement name (City/Town),2,Libkovic,Settlement name (City/Town),2,1,Cardinal number,2,Horní Počáply,Settlement name (City/Town),1,Roudnice nL,Settlement name (City/Town),1,18 . červen 1937 5 . i . 1190,Complex time expressions,1,Státní památkový úřad I ’ - k Praha,Organization/Society,1,13 . června 1937,Complex time expressions,1,16,Age,1,Václav Černý,Complex personal names,1,149,Number expression (General),1,Bořek”,Geographical name (General),1,m,Measure unit,1,Libkovice,Settlement name (City/Town),1,Roudnice nL .,Settlement name (City/Town),1,Řípu,Nature/Landscape name (Mountain/River),1,,,0,,,0,,,0,,,0
CTX193702580,Praze,Settlement name (City/Town),2,Měděnec,Settlement name (City/Town),1,Přísečnice,Settlement name (City/Town),1,1719,Number expression (General),1,37,Year,1,Dra H . Preidela,Complex personal names,1,1936,Year,1,Fuchswinkel,Geographical name (General),1,Fischera,Surname,1,Karlových Varů,Settlement name (City/Town),1,24.rvna 1937,Complex time expressions,1,"24 , června 1937",Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702641,Stradonicích,Settlement name (City/Town),2,ČESKOSLOVENSKÝ STÁTNÍ ARCHEOLOGICKÝ ÚSTAV PRAHA III .,Cult/Educational institution,1,347,Street address,1,PRAZE,Settlement name (City/Town),1,9.VII . - 193 7 .,Complex time expressions,1,403 - 31,Phone/Fax number,1,2641 / 37,Number expression (General),1,1937,Year,1,"14 , VII.t.r.dopoledne",Complex time expressions,1,Jana Formánka,Complex personal names,1,K.Buchtela,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702714,Praze,Settlement name (City/Town),2,2714 / 37,Number expression (General),1,"22 , července 1937",Complex time expressions,1,Stradonice,Settlement name (City/Town),1,Rakovník,Settlement name (City/Town),1,Lísku,Nature/Landscape name (Mountain/River),1,I .,Ordinal number,1,Inspekci státních lesů na Křivoklátě,Organization/Society,1,Lísku,Geographical name (General),1,26 . t . m .,Complex time expressions,1,Státní archeologický ústav,Cult/Educational institution,1,K.Buchtely,Complex personal names,1,Švarcem,Surname,1,Dr.J.Bohm v . z . II.expedice na opis expedice I . P . T,Complex personal names,1,Státní lesní správě Dřevíč,Organization/Society,1,Nové Huti pod Nižborem,Settlement name (City/Town),1,22 . července 1937,Complex time expressions,1,St . A . Ú .,Cult/Educational institution,1,Dr.J.Bhm v . z .,Complex personal names,1,22.VI 1 . 1937,Complex time expressions,1
CTX193702731,"Poledni Lidové Noviny "" , Brunn , 15 . 7 . 1937",Complex bibliographic expression,1,Podbořan,Settlement name (City/Town),1,Podbořansku,Territorial name (State/Region),1,Helmut,Surname,1,Německé společnosti pro vědy a umění v Praze,Cult/Educational institution,1,Chomutově,Settlement name (City/Town),1,Podbořanech,Settlement name (City/Town),1,Žatci,Settlement name (City/Town),1,Rubín,Nature/Landscape name (Mountain/River),1,Kristem,Relig./myth persons,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702758,ČSL,States/Provinces/Regions,1,STÁTNÍ ARCHAEOLOGICKY USTAV,Cult/Educational institution,1,24,Number expression (General),1,4,Number expression (General),1,k,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193702763,ČSL,States/Provinces/Regions,1,STÁTNÍ APCILPOLOGICKÝ ÚSTAV,Cult/Educational institution,1,4,Cardinal number,1,63,Cardinal number,1,2,Cardinal number,1,3,Number expression (General),1,263,Number expression (General),1,4,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
